rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
SR Cafe,3.9,,,,"Fast Food, Chinese, North Indian, Street Food, Shake",₹100 for one,150+ orders placed from here recently
Mama & Mamee Kitchen,3.1,,Flat 20% OFF,,"Mithai, Tamil",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Whatsup,-,,30% OFF,,"Fast Food, Sandwich",₹100 for one,Follows all Max Safety measures to ensure your food is safe
5 Rs Tiffin House,-,,30% OFF,,South Indian,₹100 for one,
Dosa,3.7,,20% OFF,,"South Indian, Chinese, North Indian, Fast Food",₹100 for one,
Insta Chaat,3.6,,30% OFF,,Street Food,₹100 for one,325+ orders placed from here recently
Chola Red Chilli Restaurant,4.0,,,,"South Indian, Biryani",₹100 for one,
Anneswari Mess,-,,,,South Indian,₹100 for one,
Shuffle,3.8,Pro extra 30% OFF,50% OFF,,"Desserts, Ice Cream, Fast Food, Sandwich, Burger, Beverages",₹150 for one,
Beatles Cafe,3.8,,40% OFF,,"Cafe, Continental, Pasta, Fast Food, Beverages, Desserts",₹150 for one,Follows all Max Safety measures to ensure your food is safe
Shakes And Burgers,4.0,,30% OFF,,"Beverages, Fast Food, Burger, Desserts, Shake",₹150 for one,400+ orders placed from here recently
Sri Krishna Iyer Mess,-,,,,"South Indian, Desserts",₹150 for one,
Byte A Bit Shawarmaz,3.5,,Flat 15% OFF,,"Lebanese, Fast Food, Rolls, Wraps",₹150 for one,75+ orders placed from here recently
Panruti Original Naatu Kozhi Kadai,3.3,,40% OFF,,South Indian,₹150 for one,
PPR Fast Food,3.6,,50% OFF,,Fast Food,₹150 for one,50+ orders placed from here recently
Arab Skew,4.1,,30% OFF,,Arabian,₹150 for one,575+ orders placed from here recently
Burger Infusion,-,,,,"Fast Food, Sandwich, Wraps, Burger, Beverages",₹150 for one,Restaurant partner follows WHO protocol
Iddly Italy,3.4,,,,"Italian, South Indian",₹150 for one,Restaurant partner follows WHO protocol
Arab Tasty,4.3,,40% OFF,,"Fast Food, Chinese, Sandwich, Burger, Desserts, Beverages",₹150 for one,375+ orders placed from here recently
The Breakfast Company,3.4,,50% OFF,,"Fast Food, Continental, Beverages, Shake",₹150 for one,
Hotel Sri Balaji,-,,,,"South Indian, Chinese, North Indian",₹50 for one,
18 Degree Ice Cream Shop,4.1,,,,"Ice Cream, Desserts, Beverages, Shake",₹50 for one,
Mirchi Chaats,3.8,,,,Mithai,₹50 for one,125+ orders placed from here recently
Kongu Kitchen,3.2,,50% OFF,,"Biryani, North Indian",₹50 for one,Follows all Max Safety measures to ensure your food is safe
Corn Shop,4.1,,40% OFF,,Street Food,₹50 for one,
City Cake Shop,-,,,,Bakery,₹50 for one,
Star Fish,-,,,,"Biryani, South Indian, Chinese, Seafood",₹50 for one,
Sandwich Square,3.9,,30% OFF,,"Fast Food, Sandwich, Beverages, Shake",₹50 for one,
Sunaa Paana Idly Kadai,4.0,,40% OFF,,"South Indian, Chettinad",₹50 for one,
KV Fast Food,-,,,,"Street Food, Chinese",₹50 for one,Follows all Max Safety measures to ensure your food is safe
Engineer's Shawarma,3.7,,,,"Lebanese, Fast Food",₹50 for one,75+ orders placed from here recently
Aazhi Samaiyalarai,-,,,,Seafood,₹50 for one,
Amirtham Foods,-,,,,South Indian,₹50 for one,
Umaiyaal Kitchen,-,,20% OFF,,South Indian,₹50 for one,Restaurant partner follows WHO protocol
ZFC,3.0,,Flat 20% OFF,,"North Indian, Chinese, Fast Food, Lebanese, Beverages, Shake",₹50 for one,
Saraswathi Mess,-,,,,"South Indian, North Indian, Chinese",₹50 for one,
Puttu & Paniyarams,3.4,,30% OFF,,Tamil,₹50 for one,50+ orders placed from here recently
